algo,thresh,case,coeff
NNLSFusionR8,ThresholdedMasks,"019_NAA_029",0.94935036
NNLSFusionR8,ThresholdedMasks,"015_MPG_002",0.97494054
NNLSFusionR8,ThresholdedMasks,"019_NAA_014",0.9721268
NNLSFusionR8,ThresholdedMasks,"008_TMS_011",0.9557249
NNLSFusionR8,ThresholdedMasks,"023_NA3_039",0.9455907
NNLSFusionR8,ThresholdedMasks,"003_GNX_013",0.9628218
NNLSFusionR8,ThresholdedMasks,"023_NA3_002",0.95077866
NNLSFusionR8,ThresholdedMasks,"023_NAA_007",0.9503489
NNLSFusionR8,ThresholdedMasks,"016_NAA_011",0.9525066
NNLSFusionR8,ThresholdedMasks,"017_MPG_005",0.97625846
NNLSFusionR8,ThresholdedMasks,"017_NA3_056",0.9731797
NNLSFusionR8,ThresholdedMasks,"017_NA3_038",0.9739548
NNLSFusionR8,ThresholdedMasks,"016_NA3_027",0.98077244
NNLSFusionR8,ThresholdedMasks,"015_NAA_002",0.97003263
NNLSFusionR8,ThresholdedMasks,"023_PET_007-time1",0.95341945
NNLSFusionR8,ThresholdedMasks,"015_NA3_017",0.9546249
NNLSFusionR8,ThresholdedMasks,"015_NA3_006",0.976358
NNLSFusionR8,UnThresholdedMasks,"017_NA3_040",0.97450304
NNLSFusionR8,UnThresholdedMasks,"015_NAA_006",0.9729243
NNLSFusionR8,UnThresholdedMasks,"019_NA3_010",0.9780912
NNLSFusionR8,UnThresholdedMasks,"019_NAA_029",0.94935036
NNLSFusionR8,UnThresholdedMasks,"015_MPG_002",0.97494054
NNLSFusionR8,UnThresholdedMasks,"019_NAA_014",0.9721268
NNLSFusionR8,UnThresholdedMasks,"008_TMS_011",0.9557249
NNLSFusionR8,UnThresholdedMasks,"023_NA3_039",0.9455907
NNLSFusionR8,UnThresholdedMasks,"003_GNX_013",0.9628218
NNLSFusionR8,UnThresholdedMasks,"023_NA3_002",0.95077866
NNLSFusionR8,UnThresholdedMasks,"023_NAA_007",0.9503489
NNLSFusionR8,UnThresholdedMasks,"016_NAA_011",0.9525066
NNLSFusionR8,UnThresholdedMasks,"017_MPG_005",0.97625846
NNLSFusionR8,UnThresholdedMasks,"017_NA3_056",0.9731797
NNLSFusionR8,UnThresholdedMasks,"017_NA3_038",0.9739548
NNLSFusionR8,UnThresholdedMasks,"016_NA3_027",0.98077244
NNLSFusionR8,UnThresholdedMasks,"015_NAA_002",0.97003263
NNLSFusionR8,UnThresholdedMasks,"023_PET_007-time1",0.95341945
NNLSFusionR8,UnThresholdedMasks,"015_NA3_017",0.9546249
NNLSFusionR8,UnThresholdedMasks,"015_NA3_006",0.976358
NNLSFusionR16,ThresholdedMasks,"017_NA3_040",0.97426206
NNLSFusionR16,ThresholdedMasks,"015_NAA_006",0.9729525
NNLSFusionR16,ThresholdedMasks,"019_NA3_010",0.97794425
NNLSFusionR16,ThresholdedMasks,"019_NAA_029",0.94943184
NNLSFusionR16,ThresholdedMasks,"015_MPG_002",0.9749533
NNLSFusionR16,ThresholdedMasks,"019_NAA_014",0.97234255
NNLSFusionR16,ThresholdedMasks,"008_TMS_011",0.955821
NNLSFusionR16,ThresholdedMasks,"023_NA3_039",0.9459561
NNLSFusionR16,ThresholdedMasks,"003_GNX_013",0.96279025
